Date,ProductName,ProductCategory,ProductSubCategory,ProductPrice,CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,SupplierName,SupplierLocation,SupplierContact,ShipperName,ShippingMethod,QuantitySold,TotalAmount,DiscountAmount,NetAmount,StockReceived,StockSold,StockOnHand
08-12-2022,Cynthia,Electronics,Headphones,87285.0,Steven Lewis,,"21677 Jeremy Crest, Martinland, KS 55723",001-239-729-3592,Bronze,Smith PLC,Lake Candiceton,459-301-8580,and Sons,Air,74,64590.9,84.19,64506.71,215,133,82
2023-05-13,Elizabeth,InvalidCategory,Shirt,840.19,James Walton,carlachavez@example.org,"441 Norris Villages, Williamsfort, DE 42861",001-383-352-4100x0689,Bronze,King-Rodriguez,South Lindatown,7724600682,PLC,Ground,82,68895.58,11.44,68884.14,481,439,42
2022-04-17,NonExistentProduct,Clothing,Shirt,995.13,Wesley Todd V,bmathis@example.org,"PSC 6713, Box 9045, APO AA 86614",+1-847-889-6266x4649,Silver,Peck Group,West Lindafurt,+1-838-976-6137,and Sons,Ground,54,53737.02,195.96,53541.06,446,193,253
2023-05-12,Justin,Electronics,Headphones,660.05,Deborah Johnson,danielsjames@example.com,"Unit 7959 Box 1729, DPO AE 54204",481-606-7639x9043,Bronze,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918,and Sons,Air,8,5280.4,65.99,5214.41,494,248,246
2023-07-23,Anthony,Books,Academic,693.39,Curtis Tyler,snguyen@example.org,"2265 Harris Green Suite 904, Smithberg, HI 67751",+1-580-473-0110x597,Silver,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Group,Ground,2,1386.78,52.56,1334.22,88,86,2
2022-09-13,Justin,Electronics,Headphones,660.05,Katherine Mccarthy,kennethwagner@example.org,"58662 Melanie Ranch Suite 803, Jayborough, RI 19190",701.347.1179,Silver,"Wagner, Jackson and Holt",Port Sarahview,,PLC,Air,26,17161.3,77.87,17083.43,91,80,11
2023-04-08,Shawn,Electronics,Headphones,46109.0,Erika Thompson,tonykirk@example.com,"73758 Collier Track Suite 912, Christophermouth, LA 25777",001-640-830-6689x88768,Silver,Smith PLC,Lake Candiceton,459-301-8580,and Sons,Sea,52,23976.68,135.83,23840.85,258,141,117
2022-05-23,Nathaniel,InvalidCategory,Camera,0.01,Timothy Montgomery,cherylneal@example.com,"8889 Allison Islands, Lake Jonathanland, MA 79932",+1-938-475-8574,Bronze,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918,Group,Air,56,36531.6,114.92,36416.68,72,65,7
12-19-2022,Marvin,Clothing,Shirt,995.13,Mr. George Schmidt,jacksonjulie@example.org,"365 Sheryl Summit, Port Jamieview, PW 42712",001-271-376-7087x52327,Bronze,Smith PLC,Lake Candiceton,459-301-8580,Ltd,Ground,99,98517.87,46.14,98471.73,440,42,398
12-30-2021,Marvin,Clothing,Shirt,995.13,Nicole Kim,esmith@example.org,"USNS Floyd, FPO AP 68042",755-312-4084,Silver,Lee-Miller,South Emilyview,+1-588-750-7646,Group,Ground,54,53737.02,241.35,53495.67,322,261,61
2022-02-01,NonExistentProduct,Electronics,Camera,652.35,Mary Stark,richardhenderson@example.net,"5360 Anna Islands, Wellsbury, MO 75228",221.263.6683,Bronze,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264,and Sons,Ground,73,47621.55,30.67,47590.880000000005,443,252,191
2022-07-31,Michael,Toys,Dolls,46.23,Jesus Zavala,hughescharles@example.net,"59086 Ricardo Mall Suite 244, Adamsland, ME 76769",735-284-2099x29274,Bronze,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226,Inc,Sea,59,2727.57,5.36,2722.21,71,27,44
2022-12-21,Angela,Toys,Action Figures,386.57,Teresa Jackson,upadilla@example.org,"66080 Ingram Walk, Lake Jonathanview, CT 82936",001-460-965-4089x429,Silver,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740,Ltd,Ground,70,27059.9,84.48,26975.42,74,39,35
2023-04-02,Jamie,Books,Fiction,930.3,Samantha Hampton,dustin93@example.org,"7692 Peterson Station, South Benjaminton, FM 52517",(846)894-1148,Gold,Brown-Miller,Seanfort,(502)758-2166,and Sons,Air,38,35351.4,26.92,35324.48,173,19,154
11-12-2022,Pamela,Electronics,Headphones,65111.0,Christopher Moore,kendra15@example.net,"941 Phelps Drives Apt. 888, North Christopher, WA 48744",+1-356-543-6918x044,Bronze,Smith PLC,Lake Candiceton,,Group,Air,97,63157.67,145.28,63012.39,456,147,309
